,Unnamed: 0,K=1/TP,K=1/FP,K=1/TN,K=1/FN,K=3/TP,K=3/FP,K=3/TN,K=3/FN,K=5/TP,K=5/FP,K=5/TN,K=5/FN,K=7/TP,K=7/FP,K=7/TN,K=7/FN
0,Fold1,56.0,9.0,68.0,29.0,56.0,9.0,68.0,29.0,56.0,9.0,68.0,29.0,56.0,9.0,68.0,29.0
1,Fold2,67.0,9.0,74.0,12.0,67.0,9.0,74.0,12.0,67.0,9.0,74.0,12.0,67.0,9.0,74.0,12.0
2,Fold3,63.0,8.0,68.0,23.0,63.0,8.0,68.0,23.0,63.0,8.0,68.0,23.0,63.0,8.0,68.0,23.0
3,Fold4,67.0,8.0,72.0,14.0,67.0,8.0,72.0,14.0,67.0,8.0,72.0,14.0,67.0,8.0,72.0,14.0
4,Fold5,66.0,9.0,63.0,23.0,66.0,9.0,63.0,23.0,66.0,9.0,63.0,23.0,66.0,9.0,63.0,23.0
5,Average on all,,,,,,,,,,,,,,,,
